ensembl_gene_id	mgi_symbol	entrezgene	description
10090.ENSMUSP00000112104	ENSMUSG00000021546	Hnrnpk	15387	heterogeneous nuclear ribonucleoprotein K [Source:MGI Symbol;Acc:MGI:99894]
10090.ENSMUSP00000042691	ENSMUSG00000020075	Ddx21	56200	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 [Source:MGI Symbol;Acc:MGI:1860494]
10090.ENSMUSP00000027446	ENSMUSG00000026240	Cops7b	26895	COP9 (constitutive photomorphogenic) homolog, subunit 7b (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349388]
10090.ENSMUSP00000027449	ENSMUSG00000026241	Nppc	18159	natriuretic peptide type C [Source:MGI Symbol;Acc:MGI:97369]
10090.ENSMUSP00000034570	ENSMUSG00000032067	Pts	19286	6-pyruvoyl-tetrahydropterin synthase [Source:MGI Symbol;Acc:MGI:1338783]
10090.ENSMUSP00000027470	ENSMUSG00000026253	Chrng	11449	cholinergic receptor, nicotinic, gamma polypeptide [Source:MGI Symbol;Acc:MGI:87895]
10090.ENSMUSP00000029562	ENSMUSG00000027950	Chrnb2	11444	cholinergic receptor, nicotinic, beta polypeptide 2 (neuronal) [Source:MGI Symbol;Acc:MGI:87891]
10090.ENSMUSP00000033882	ENSMUSG00000031491	Chrna6	11440	cholinergic receptor, nicotinic, alpha polypeptide 6 [Source:MGI Symbol;Acc:MGI:106213]
10090.ENSMUSP00000047270	ENSMUSG00000041189	Chrnb1	11443	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle) [Source:MGI Symbol;Acc:MGI:87890]
10090.ENSMUSP00000104479	ENSMUSG00000027577	Chrna4	11438	cholinergic receptor, nicotinic, alpha polypeptide 4 [Source:MGI Symbol;Acc:MGI:87888]
10090.ENSMUSP00000084162	ENSMUSG00000026251	Chrnd	11447	cholinergic receptor, nicotinic, delta polypeptide [Source:MGI Symbol;Acc:MGI:87893]
10090.ENSMUSP00000028704	ENSMUSG00000027261	Hao1	15112	hydroxyacid oxidase 1, liver [Source:MGI Symbol;Acc:MGI:96011]
10090.ENSMUSP00000027494	ENSMUSG00000026275	Ppp1r7	66385	protein phosphatase 1, regulatory (inhibitor) subunit 7 [Source:MGI Symbol;Acc:MGI:1913635]
10090.ENSMUSP00000027505	ENSMUSG00000026283	Ing5	66262	inhibitor of growth family, member 5 [Source:MGI Symbol;Acc:MGI:1922816]
10090.ENSMUSP00000108744	ENSMUSG00000001632	Brpf1	78783	bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]
10090.ENSMUSP00000042229	ENSMUSG00000033590	Myo5c	208943	myosin VC [Source:MGI Symbol;Acc:MGI:2442485]
10090.ENSMUSP00000112807	ENSMUSG00000024511	Rab27b	80718	RAB27b, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1931295]
10090.ENSMUSP00000027579	ENSMUSG00000026341	Actr3	74117	ARP3 actin-related protein 3 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1921367]
10090.ENSMUSP00000027592	ENSMUSG00000026353	Ubxn4	67812	UBX domain protein 4 [Source:MGI Symbol;Acc:MGI:1915062]
10090.ENSMUSP00000050191	ENSMUSG00000005312	Ubqln1	56085	ubiquilin 1 [Source:MGI Symbol;Acc:MGI:1860276]
10090.ENSMUSP00000115201	ENSMUSG00000050921	P2ry10	78826	purinergic receptor P2Y, G-protein coupled 10 [Source:MGI Symbol;Acc:MGI:1926076]
10090.ENSMUSP00000027615	ENSMUSG00000026368	F13b	14060	coagulation factor XIII, beta subunit [Source:MGI Symbol;Acc:MGI:88379]
10090.ENSMUSP00000033821	ENSMUSG00000031444	F10	14058	coagulation factor X [Source:MGI Symbol;Acc:MGI:103107]
10090.ENSMUSP00000043981	ENSMUSG00000041560	Gltscr2	68077	glioma tumor suppressor candidate region gene 2 [Source:MGI Symbol;Acc:MGI:2154441]
10090.ENSMUSP00000099770	ENSMUSG00000027048	Abcb11	27413	ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:MGI Symbol;Acc:MGI:1351619]
10090.ENSMUSP00000075240	ENSMUSG00000002885	Cd97	26364	CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095]
10090.ENSMUSP00000027657	ENSMUSG00000026405	C4bp	12269	complement component 4 binding protein [Source:MGI Symbol;Acc:MGI:88229]
10090.ENSMUSP00000069418	ENSMUSG00000073418	C4b	12268;675521	complement component 4B (Chido blood group) [Source:MGI Symbol;Acc:MGI:88228]
10090.ENSMUSP00000104324	ENSMUSG00000060180	Myh13	544791	myosin, heavy polypeptide 13, skeletal muscle [Source:MGI Symbol;Acc:MGI:1339967]
10090.ENSMUSP00000027748	ENSMUSG00000026475	Rgs16	19734	regulator of G-protein signaling 16 [Source:MGI Symbol;Acc:MGI:108407]
10090.ENSMUSP00000027771	ENSMUSG00000026494	Kif26b	269152	kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076]
10090.ENSMUSP00000029092	ENSMUSG00000027575	Arfgap1	228998	ADP-ribosylation factor GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2183559]
10090.ENSMUSP00000038368	ENSMUSG00000025607	Copg2	54160	coatomer protein complex, subunit gamma 2 [Source:MGI Symbol;Acc:MGI:1858683]
10090.ENSMUSP00000071078	ENSMUSG00000055681	Cope	59042	coatomer protein complex, subunit epsilon [Source:MGI Symbol;Acc:MGI:1891702]
10090.ENSMUSP00000027846	ENSMUSG00000026563	Tada1	27878	transcriptional adaptor 1 [Source:MGI Symbol;Acc:MGI:1196415]
10090.ENSMUSP00000027861	ENSMUSG00000026574	Dpt	56429	dermatopontin [Source:MGI Symbol;Acc:MGI:1928392]
10090.ENSMUSP00000027866	ENSMUSG00000026577	Blzf1	66352	basic leucine zipper nuclear factor 1 [Source:MGI Symbol;Acc:MGI:1201607]
10090.ENSMUSP00000028509	ENSMUSG00000014959	Gorasp2	70231	golgi reassembly stacking protein 2 [Source:MGI Symbol;Acc:MGI:2135962]
10090.ENSMUSP00000057664	ENSMUSG00000047187	Rab2a	59021	RAB2A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1928750]
10090.ENSMUSP00000040775	ENSMUSG00000033350	Chst2	54371	carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]
10090.ENSMUSP00000097895	ENSMUSG00000036587	Fut7	14347	fucosyltransferase 7 [Source:MGI Symbol;Acc:MGI:107692]
10090.ENSMUSP00000027905	ENSMUSG00000026609	Ush2a	22283	Usher syndrome 2A (autosomal recessive, mild) homolog (human) [Source:MGI Symbol;Acc:MGI:1341292]
10090.ENSMUSP00000119002	ENSMUSG00000074818	Pdzd7	100503041	PDZ domain containing 7 [Source:MGI Symbol;Acc:MGI:3608325]
10090.ENSMUSP00000113715	ENSMUSG00000036099	Vezt	215008	vezatin, adherens junctions transmembrane protein [Source:MGI Symbol;Acc:MGI:2143698]
10090.ENSMUSP00000093245	ENSMUSG00000069170	Gpr98	110789	G protein-coupled receptor 98 [Source:MGI Symbol;Acc:MGI:1274784]
10090.ENSMUSP00000081557	ENSMUSG00000039137	Whrn	73750	whirlin [Source:MGI Symbol;Acc:MGI:2682003]
10090.ENSMUSP00000027932	ENSMUSG00000026623	Lpgat1	226856	lysophosphatidylglycerol acyltransferase 1 [Source:MGI Symbol;Acc:MGI:2446186]
10090.ENSMUSP00000062607	ENSMUSG00000046971	Pla2g4f	271844	phospholipase A2, group IVF [Source:MGI Symbol;Acc:MGI:2685493]
10090.ENSMUSP00000120011	ENSMUSG00000019647	Sema6a	20358	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A [Source:MGI Symbol;Acc:MGI:1203727]
10090.ENSMUSP00000027955	ENSMUSG00000026645	Olah	99035	oleoyl-ACP hydrolase [Source:MGI Symbol;Acc:MGI:2139018]
10090.ENSMUSP00000108243	ENSMUSG00000021786	Oxsm	71147	3-oxoacyl-ACP synthase, mitochondrial [Source:MGI Symbol;Acc:MGI:1918397]
10090.ENSMUSP00000027964	ENSMUSG00000059498	Fcgr3	14131	Fc receptor, IgG, low affinity III [Source:MGI Symbol;Acc:MGI:95500]
10090.ENSMUSP00000027966	ENSMUSG00000026656	Fcgr2b	14130	Fc receptor, IgG, low affinity IIb [Source:MGI Symbol;Acc:MGI:95499]
10090.ENSMUSP00000081006	ENSMUSG00000075704	Txnrd2	NA	thioredoxin reductase 2 [Source:MGI Symbol;Acc:MGI:1347023]
10090.ENSMUSP00000031069	ENSMUSG00000029173	Sepsecs	211006	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:MGI Symbol;Acc:MGI:1098791]
10090.ENSMUSP00000033153	ENSMUSG00000030866	Ern2	26918	endoplasmic reticulum (ER) to nucleus signalling 2 [Source:MGI Symbol;Acc:MGI:1349436]
10090.ENSMUSP00000027975	ENSMUSG00000026664	Phyh	16922	phytanoyl-CoA hydroxylase [Source:MGI Symbol;Acc:MGI:891978]
10090.ENSMUSP00000114922	ENSMUSG00000021884	Hacl1	56794	2-hydroxyacyl-CoA lyase 1 [Source:MGI Symbol;Acc:MGI:1929657]
10090.ENSMUSP00000047761	ENSMUSG00000020258	Glyctk	235582	glycerate kinase [Source:MGI Symbol;Acc:MGI:2444085]
10090.ENSMUSP00000074195	ENSMUSG00000060923	Acyp2	75572	acylphosphatase 2, muscle type [Source:MGI Symbol;Acc:MGI:1922822]
10090.ENSMUSP00000112609	ENSMUSG00000008822	Acyp1	66204	acylphosphatase 1, erythrocyte (common) type [Source:MGI Symbol;Acc:MGI:1913454]
10090.ENSMUSP00000031788	ENSMUSG00000029776	Hibadh	58875	3-hydroxyisobutyrate dehydrogenase [Source:MGI Symbol;Acc:MGI:1889802]
10090.ENSMUSP00000046302	ENSMUSG00000041660	Bbox1	170442	butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase) [Source:MGI Symbol;Acc:MGI:1891372]
10090.ENSMUSP00000104162	ENSMUSG00000078798	Sult2a1	20859	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 1 [Source:MGI Symbol;Acc:MGI:98430]
10090.ENSMUSP00000029464	ENSMUSG00000027870	Hao2	56185	hydroxyacid oxidase 2 [Source:MGI Symbol;Acc:MGI:96012]
10090.ENSMUSP00000090259	ENSMUSG00000069668	Sult3a1	57430	sulfotransferase family 3A, member 1 [Source:MGI Symbol;Acc:MGI:1931469]
10090.ENSMUSP00000064809	ENSMUSG00000053303	Slc22a26	236149	solute carrier family 22 (organic cation transporter), member 26 [Source:MGI Symbol;Acc:MGI:2385316]
10090.ENSMUSP00000030952	ENSMUSG00000029075	Tnfrsf4	22163	tumor necrosis factor receptor superfamily, member 4 [Source:MGI Symbol;Acc:MGI:104512]
10090.ENSMUSP00000040694	ENSMUSG00000039191	Rbpj	19664	recombination signal binding protein for immunoglobulin kappa J region [Source:MGI Symbol;Acc:MGI:96522]
10090.ENSMUSP00000028072	ENSMUSG00000026740	Dnajc1	13418	DnaJ (Hsp40) homolog, subfamily C, member 1 [Source:MGI Symbol;Acc:MGI:103268]
10090.ENSMUSP00000104098	ENSMUSG00000040714	Klc3	232943	kinesin light chain 3 [Source:MGI Symbol;Acc:MGI:1277971]
10090.ENSMUSP00000091505	ENSMUSG00000040998	Npnt	114249	nephronectin [Source:MGI Symbol;Acc:MGI:2148811]
10090.ENSMUSP00000028137	ENSMUSG00000026798	Coq4	227683	coenzyme Q4 homolog (yeast) [Source:MGI Symbol;Acc:MGI:1098826]
10090.ENSMUSP00000029909	ENSMUSG00000028247	Coq3	230027	coenzyme Q3 homolog, methyltransferase (yeast) [Source:MGI Symbol;Acc:MGI:101813]
10090.ENSMUSP00000101050	ENSMUSG00000001436	Slc19a1	20509	solute carrier family 19 (folate transporter), member 1 [Source:MGI Symbol;Acc:MGI:103182]
10090.ENSMUSP00000028209	ENSMUSG00000026856	Dolpp1	57170	dolichyl pyrophosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914093]
10090.ENSMUSP00000045272	ENSMUSG00000033809	Alg3	208624	asparagine-linked glycosylation 3 homolog (yeast, alpha-1,3-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:1098592]
10090.ENSMUSP00000035879	ENSMUSG00000036632	Alg5	66248	asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase) [Source:MGI Symbol;Acc:MGI:1913498]
10090.ENSMUSP00000097770	ENSMUSG00000039427	Alg1	208211	asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase) [Source:MGI Symbol;Acc:MGI:2384774]
10090.ENSMUSP00000097792	ENSMUSG00000075419	Dolk	227697	dolichol kinase [Source:MGI Symbol;Acc:MGI:2677836]
10090.ENSMUSP00000056282	ENSMUSG00000032123	Dpagt1	13478	dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) [Source:MGI Symbol;Acc:MGI:1196396]
10090.ENSMUSP00000103086	ENSMUSG00000042737	Dpm3	68563	dolichyl-phosphate mannosyltransferase polypeptide 3 [Source:MGI Symbol;Acc:MGI:1915813]
10090.ENSMUSP00000028156	ENSMUSG00000026815	Gfi1b	14582	growth factor independent 1B [Source:MGI Symbol;Acc:MGI:1276578]
10090.ENSMUSP00000079025	ENSMUSG00000035896	Rnase1	19752	ribonuclease, RNase A family, 1 (pancreatic) [Source:MGI Symbol;Acc:MGI:97919]
10090.ENSMUSP00000078847	ENSMUSG00000059654	Reg1	19692	regenerating islet-derived 1 [Source:MGI Symbol;Acc:MGI:97895]
10090.ENSMUSP00000058344	ENSMUSG00000026600	Soat1	20652	sterol O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:104665]
10090.ENSMUSP00000034368	ENSMUSG00000031896	Ctrl	109660	chymotrypsin-like [Source:MGI Symbol;Acc:MGI:88558]
10090.ENSMUSP00000047712	ENSMUSG00000022947	Cbr3	109857	carbonyl reductase 3 [Source:MGI Symbol;Acc:MGI:1309992]
10090.ENSMUSP00000049394	ENSMUSG00000051483	Cbr1	12408	carbonyl reductase 1 [Source:MGI Symbol;Acc:MGI:88284]
10090.ENSMUSP00000028172	ENSMUSG00000026829	Gbgt1	227671	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:2449143]
10090.ENSMUSP00000058363	ENSMUSG00000043300	B3galnt1	26879	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1349405]
10090.ENSMUSP00000028207	ENSMUSG00000026853	Crat	12908	carnitine acetyltransferase [Source:MGI Symbol;Acc:MGI:109501]
10090.ENSMUSP00000028392	ENSMUSG00000027006	Dnajc10	66861	DnaJ (Hsp40) homolog, subfamily C, member 10 [Source:MGI Symbol;Acc:MGI:1914111]
10090.ENSMUSP00000113979	ENSMUSG00000031549	Ido2	209176	indoleamine 2,3-dioxygenase 2 [Source:MGI Symbol;Acc:MGI:2142489]
10090.ENSMUSP00000101825	ENSMUSG00000040213	Ccbl2	229905	cysteine conjugate-beta lyase 2 [Source:MGI Symbol;Acc:MGI:2677849]
10090.ENSMUSP00000109293	ENSMUSG00000039648	Ccbl1	70266	cysteine conjugate-beta lyase 1 [Source:MGI Symbol;Acc:MGI:1917516]
10090.ENSMUSP00000038914	ENSMUSG00000039783	Kmo	98256	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase) [Source:MGI Symbol;Acc:MGI:2138151]
10090.ENSMUSP00000096389	ENSMUSG00000074361	Gpr77	319430	G protein-coupled receptor 77 [Source:MGI Symbol;Acc:MGI:2442013]
10090.ENSMUSP00000028241	ENSMUSG00000026880	Stom	13830	stomatin [Source:MGI Symbol;Acc:MGI:95403]
10090.ENSMUSP00000039914	ENSMUSG00000038276	Accn3	171209	amiloride-sensitive cation channel 3 [Source:MGI Symbol;Acc:MGI:2159339]
10090.ENSMUSP00000104680	ENSMUSG00000023017	Accn2	11419	amiloride-sensitive cation channel 2, neuronal [Source:MGI Symbol;Acc:MGI:1194915]
10090.ENSMUSP00000028259	ENSMUSG00000026896	Ifih1	71586	interferon induced with helicase C domain 1 [Source:MGI Symbol;Acc:MGI:1918836]
10090.ENSMUSP00000091197	ENSMUSG00000037921	Ddx60	234311	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:MGI Symbol;Acc:MGI:2384570]
10090.ENSMUSP00000034621	ENSMUSG00000032109	Nlrx1	270151	NLR family member X1 [Source:MGI Symbol;Acc:MGI:2429611]
10090.ENSMUSP00000038166	ENSMUSG00000034064	Poglut1	224143	protein O-glucosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2444232]
10090.ENSMUSP00000075224	ENSMUSG00000002799	Jag2	16450	jagged 2 [Source:MGI Symbol;Acc:MGI:1098270]
10090.ENSMUSP00000040229	ENSMUSG00000039982	Dtx4	207521	deltex 4 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:2672905]
10090.ENSMUSP00000106772	ENSMUSG00000004947	Dtx2	74198	deltex 2 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1921448]
10090.ENSMUSP00000078245	ENSMUSG00000063160	Numbl	18223	numb-like [Source:MGI Symbol;Acc:MGI:894702]
10090.ENSMUSP00000063104	ENSMUSG00000040856	Dlk1	13386	delta-like 1 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:94900]
10090.ENSMUSP00000067842	ENSMUSG00000055022	Cntn1	12805	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]
10090.ENSMUSP00000031607	ENSMUSG00000029603	Dtx1	14357	deltex 1 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1352744]
10090.ENSMUSP00000028302	ENSMUSG00000026934	Lhx3	16871	LIM homeobox protein 3 [Source:MGI Symbol;Acc:MGI:102673]
10090.ENSMUSP00000118546	ENSMUSG00000025223	Ldb1	16825	LIM domain binding 1 [Source:MGI Symbol;Acc:MGI:894762]
10090.ENSMUSP00000096148	ENSMUSG00000019194	Scn1b	20266	sodium channel, voltage-gated, type I, beta [Source:MGI Symbol;Acc:MGI:98247]
10090.ENSMUSP00000090088	ENSMUSG00000069601	Ank3	11735	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]
10090.ENSMUSP00000028389	ENSMUSG00000027004	Frzb	20378	frizzled-related protein [Source:MGI Symbol;Acc:MGI:892032]
10090.ENSMUSP00000042283	ENSMUSG00000035726	Supt16h	114741	suppressor of Ty 16 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1890948]
10090.ENSMUSP00000028551	ENSMUSG00000027131	Tmem85	68032	transmembrane protein 85 [Source:MGI Symbol;Acc:MGI:1915282]
10090.ENSMUSP00000028553	ENSMUSG00000027133	Nop10	66181	NOP10 ribonucleoprotein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1913431]
10090.ENSMUSP00000120014	ENSMUSG00000001056	Nhp2	52530	NHP2 ribonucleoprotein homolog (yeast) [Source:MGI Symbol;Acc:MGI:1098547]
10090.ENSMUSP00000028595	ENSMUSG00000027173	Depdc7	211896	DEP domain containing 7 [Source:MGI Symbol;Acc:MGI:2139258]
10090.ENSMUSP00000060613	ENSMUSG00000033285	Wdr3	269470	WD repeat domain 3 [Source:MGI Symbol;Acc:MGI:2443143]
10090.ENSMUSP00000045629	ENSMUSG00000037953	A4gnt	333424	alpha-1,4-N-acetylglucosaminyltransferase [Source:MGI Symbol;Acc:MGI:2143261]
10090.ENSMUSP00000102111	ENSMUSG00000027963	Extl2	58193	exostoses (multiple)-like 2 [Source:MGI Symbol;Acc:MGI:1889574]
10090.ENSMUSP00000106795	ENSMUSG00000021978	Extl3	54616	exostoses (multiple)-like 3 [Source:MGI Symbol;Acc:MGI:1860765]
10090.ENSMUSP00000029602	ENSMUSG00000027977	Ndst3	83398	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 [Source:MGI Symbol;Acc:MGI:1932544]
10090.ENSMUSP00000030643	ENSMUSG00000028838	Extl1	56219	exostoses (multiple)-like 1 [Source:MGI Symbol;Acc:MGI:1888742]
10090.ENSMUSP00000121985	ENSMUSG00000027971	Ndst4	64580	N-deacetylase/N-sulfotransferase (heparin glucosaminyl) 4 [Source:MGI Symbol;Acc:MGI:1932545]
10090.ENSMUSP00000122863	ENSMUSG00000030116	Mfap5	50530	microfibrillar associated protein 5 [Source:MGI Symbol;Acc:MGI:1354387]
10090.ENSMUSP00000028639	ENSMUSG00000027210	Meis2	17536	Meis homeobox 2 [Source:MGI Symbol;Acc:MGI:108564]
10090.ENSMUSP00000045281	ENSMUSG00000038718	Pbx3	18516	pre B cell leukemia homeobox 3 [Source:MGI Symbol;Acc:MGI:97496]
10090.ENSMUSP00000028650	ENSMUSG00000027222	Pex16	18633	peroxisomal biogenesis factor 16 [Source:MGI Symbol;Acc:MGI:1338829]
10090.ENSMUSP00000047254	ENSMUSG00000035769	Xylb	102448	xylulokinase homolog (H. influenzae) [Source:MGI Symbol;Acc:MGI:2142985]
10090.ENSMUSP00000045474	ENSMUSG00000037204	9430023L20Rik	68118	RIKEN cDNA 9430023L20 gene [Source:MGI Symbol;Acc:MGI:1915368]
10090.ENSMUSP00000052866	ENSMUSG00000043445	Pgp	67078	phosphoglycolate phosphatase [Source:MGI Symbol;Acc:MGI:1914328]
10090.ENSMUSP00000099867	ENSMUSG00000053093	Myh7	140781	myosin, heavy polypeptide 7, cardiac muscle, beta [Source:MGI Symbol;Acc:MGI:2155600]
10090.ENSMUSP00000080538	ENSMUSG00000040752	Myh6	17888	myosin, heavy polypeptide 6, cardiac muscle, alpha [Source:MGI Symbol;Acc:MGI:97255]
10090.ENSMUSP00000101874	ENSMUSG00000030806	Stx1b	56216	syntaxin 1B [Source:MGI Symbol;Acc:MGI:1930705]
10090.ENSMUSP00000028749	ENSMUSG00000079110	Capn3	12335	calpain 3 [Source:MGI Symbol;Acc:MGI:107437]
10090.ENSMUSP00000080579	ENSMUSG00000033788	Dysf	26903	dysferlin [Source:MGI Symbol;Acc:MGI:1349385]
10090.ENSMUSP00000101259	ENSMUSG00000058183	Mmel1	27390	membrane metallo-endopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:1351603]
10090.ENSMUSP00000080949	ENSMUSG00000061607	Mdc1	240087	mediator of DNA damage checkpoint 1 [Source:MGI Symbol;Acc:MGI:3525201]
10090.ENSMUSP00000105422	ENSMUSG00000033762	Recql4	79456	RecQ protein-like 4 [Source:MGI Symbol;Acc:MGI:1931028]
10090.ENSMUSP00000123605	ENSMUSG00000076432	Ywhaq	22630	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Source:MGI Symbol;Acc:MGI:891963]
10090.ENSMUSP00000066679	ENSMUSG00000029521	Chek2	50883	checkpoint kinase 2 [Source:MGI Symbol;Acc:MGI:1355321]
10090.ENSMUSP00000062593	ENSMUSG00000045969	Ing1	26356	inhibitor of growth family, member 1 [Source:MGI Symbol;Acc:MGI:1349481]
10090.ENSMUSP00000108341	ENSMUSG00000025269	Apex2	77622	apurinic/apyrimidinic endonuclease 2 [Source:MGI Symbol;Acc:MGI:1924872]
10090.ENSMUSP00000070619	ENSMUSG00000030254	Rad18	58186	RAD18 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1890476]
10090.ENSMUSP00000031587	ENSMUSG00000029591	Ung	22256	uracil DNA glycosylase [Source:MGI Symbol;Acc:MGI:109352]
10090.ENSMUSP00000092828	ENSMUSG00000071042	Rasgrp3	240168	RAS, guanyl releasing protein 3 [Source:MGI Symbol;Acc:MGI:3028579]
10090.ENSMUSP00000079637	ENSMUSG00000056917	Sipa1	20469	signal-induced proliferation associated gene 1 [Source:MGI Symbol;Acc:MGI:107576]
10090.ENSMUSP00000028825	ENSMUSG00000027349	Fam98b	68215	family with sequence similarity 98, member B [Source:MGI Symbol;Acc:MGI:1915465]
10090.ENSMUSP00000062556	ENSMUSG00000050711	Scg2	20254	secretogranin II [Source:MGI Symbol;Acc:MGI:103033]
10090.ENSMUSP00000028835	ENSMUSG00000027357	Crls1	66586	cardiolipin synthase 1 [Source:MGI Symbol;Acc:MGI:1913836]
10090.ENSMUSP00000121973	ENSMUSG00000017715	Pgs1	74451	phosphatidylglycerophosphate synthase 1 [Source:MGI Symbol;Acc:MGI:1921701]
10090.ENSMUSP00000110411	ENSMUSG00000022816	Fstl1	14314	follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793]
10090.ENSMUSP00000102858	ENSMUSG00000038192	Cer1	12622	cerberus 1 homolog (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:1201414]
10090.ENSMUSP00000049640	ENSMUSG00000050069	Grem2	23893	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:1344367]
10090.ENSMUSP00000108499	ENSMUSG00000031283	Chrdl1	83453	chordin-like 1 [Source:MGI Symbol;Acc:MGI:1933172]
10090.ENSMUSP00000069699	ENSMUSG00000056162	Cndp1	338403	carnosine dipeptidase 1 (metallopeptidase M20 family) [Source:MGI Symbol;Acc:MGI:2451097]
10090.ENSMUSP00000028848	ENSMUSG00000027371	Fahd2a	68126	fumarylacetoacetate hydrolase domain containing 2A [Source:MGI Symbol;Acc:MGI:1915376]
10090.ENSMUSP00000093480	ENSMUSG00000019986	Ahi1	52906	Abelson helper integration site 1 [Source:MGI Symbol;Acc:MGI:87971]
10090.ENSMUSP00000030029	ENSMUSG00000028344	Invs	16348	inversin [Source:MGI Symbol;Acc:MGI:1335082]
10090.ENSMUSP00000112215	ENSMUSG00000032558	Nphp3	74025	nephronophthisis 3 (adolescent) [Source:MGI Symbol;Acc:MGI:1921275]
10090.ENSMUSP00000049920	ENSMUSG00000039577	Nphp4	260305	nephronophthisis 4 (juvenile) homolog (human) [Source:MGI Symbol;Acc:MGI:2384210]
10090.ENSMUSP00000028900	ENSMUSG00000027411	Vps16	80743	vacuolar protein sorting 16 (yeast) [Source:MGI Symbol;Acc:MGI:2136772]
10090.ENSMUSP00000104322	ENSMUSG00000033066	Gas7	14457	growth arrest specific 7 [Source:MGI Symbol;Acc:MGI:1202388]
10090.ENSMUSP00000111055	ENSMUSG00000033653	Vps8	209018	vacuolar protein sorting 8 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2146407]
10090.ENSMUSP00000099559	ENSMUSG00000027291	Vps39	269338	vacuolar protein sorting 39 (yeast) [Source:MGI Symbol;Acc:MGI:2443189]
10090.ENSMUSP00000072729	ENSMUSG00000041236	Vps41	218035	vacuolar protein sorting 41 (yeast) [Source:MGI Symbol;Acc:MGI:1929215]
10090.ENSMUSP00000034644	ENSMUSG00000032127	Vps11	71732	vacuolar protein sorting 11 (yeast) [Source:MGI Symbol;Acc:MGI:1918982]
10090.ENSMUSP00000036915	ENSMUSG00000034216	Vps18	228545	vacuolar protein sorting 18 (yeast) [Source:MGI Symbol;Acc:MGI:2443626]
10090.ENSMUSP00000028916	ENSMUSG00000027429	Sec23b	27054	SEC23B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1350925]
10090.ENSMUSP00000097887	ENSMUSG00000026937	Lcn5	13863	lipocalin 5 [Source:MGI Symbol;Acc:MGI:1277241]
10090.ENSMUSP00000038763	ENSMUSG00000041650	Pcca	110821	propionyl-Coenzyme A carboxylase, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97499]
10090.ENSMUSP00000034094	ENSMUSG00000031669	Gins3	78833	GINS complex subunit 3 (Psf3 homolog) [Source:MGI Symbol;Acc:MGI:1926083]
10090.ENSMUSP00000028955	ENSMUSG00000027460	Angpt4	11602	angiopoietin 4 [Source:MGI Symbol;Acc:MGI:1336887]
